Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Execute test cases for customer fields,RET-184,10190,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Gowri M G,612f10e2b7859000710bf6d5,Gowri M G,612f10e2b7859000710bf6d5,09/Sep/21 5:57 PM,09/Sep/21 5:58 PM,09/Sep/21 6:24 PM,,,0,,,Gowri M G,612f10e2b7859000710bf6d5,,,,,,,,,,,,,,,,{},,,,0|i0015z:,,,,,,RET Sprint 1,,,,,,,,,10014,Reatail_admin_customFields,To Do
Execution of customer group test cases,RET-183,10189,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Gowri M G,612f10e2b7859000710bf6d5,Gowri M G,612f10e2b7859000710bf6d5,09/Sep/21 5:54 PM,09/Sep/21 6:05 PM,09/Sep/21 6:01 PM,,,0,,,Gowri M G,612f10e2b7859000710bf6d5,,,,,,,,,,,,,,,,{},,,,0|i0015r:,,,,,,,,,,,,,,,10013,Retail_admin_customerGroups,To Do
Create test execution for Admin>Customer,RET-144,10150,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,07/Sep/21 5:35 PM,08/Sep/21 5:25 PM,08/Sep/21 6:53 PM,,,0,,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,08/Sep/21 9:22 AM;ug:62de51f8-1e93-4220-bb29-de50c5a47a2b;STR_Retail_Admin_Customer.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10100/STR_Retail_Admin_Customer.xlsx,,,,,,,{},,,,0|i000xb:,,,,,,RET Sprint 1,,,,,,,,,10033,Create test  cases for Admin>Customers,To Do
Review the test cases of User>Wish list,RET-84,10090,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 4:13 PM,06/Sep/21 4:18 PM,08/Sep/21 5:16 PM,,,0,,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,,,,,,,{},,,,0|i000k7:,,,,,,RET Sprint 1,,,,,,,,,10074, create test cases for User>Wishlist,To Do
Review the test cases of Admin>Catalog>Categories,RET-78,10084,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 3:42 PM,06/Sep/21 4:17 PM,08/Sep/21 4:26 PM,,,0,,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,,,,,,,{},,,,0|i000iv:,,,,,,RET Sprint 1,,,,,,,,,10071,Create test cases for Admin>Catalog>Categories,To Do
Review the test cases of Admin>Catalog>Products,RET-77,10083,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 3:35 PM,06/Sep/21 4:19 PM,08/Sep/21 4:26 PM,,,0,,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,,,,,,,{},,,,0|i000in:,,,,,,RET Sprint 1,,,,,,,,,10034,Create test  cases for Admin>Catalog>Products,To Do
Riview the test case for Shopping Cart ,RET-56,10062,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,03/Sep/21 2:35 PM,06/Sep/21 4:15 PM,08/Sep/21 4:26 PM,,,0,,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,,,,,,,{},,,,0|i000dj:,,,,,,RET Sprint 1,,,,,,,,,10048,Create test  cases for User>ShoppingCart ,To Do
