Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Subtask,RET-144,10150,Create test execution for Admin>Customer,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Medium,To Do,,07/Sep/21 5:35 PM,08/Sep/21 5:25 PM,
Subtask,RET-84,10090,Review the test cases of User>Wish list,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Medium,To Do,,06/Sep/21 4:13 PM,06/Sep/21 4:18 PM,
Subtask,RET-78,10084,Review the test cases of Admin>Catalog>Categories,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Medium,To Do,,06/Sep/21 3:42 PM,06/Sep/21 4:17 PM,
Subtask,RET-77,10083,Review the test cases of Admin>Catalog>Products,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Medium,To Do,,06/Sep/21 3:35 PM,06/Sep/21 4:19 PM,
Subtask,RET-56,10062,Riview the test case for Shopping Cart ,meghna vinod,612f112e448a6b00690dd24f,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Medium,To Do,,03/Sep/21 2:35 PM,06/Sep/21 4:15 PM,
